score,company,cultivar
18,A,chevrolet
15,A,Topas
18,A,Tribute
16,A,Wesway
17,A,Fido
15,A,Fido
14,A,chevrolet
14,A,Tribute
14,A,Oro
15,A,Wesway
15,A,Tower
14,A,Tribute
15,A,chevrolet
14,A,Topas
24,B,Regina II
22,C,Tribute
18,C,Wesway
21,C,Fido
27,B,Ability
26,B,Campino
25,B,Clipper
24,B,Larissa
25,B,Magma
26,B,Monty
21,C,Wesway
10,A,Fido
10,A,chevrolet
11,A,Tower
9,A,Mozart
27,C,Ability
28,C,chevrolet
25,C,Regina II
19,B,Wesway
16,B,Tribute
17,B,chevrolet
19,B,Fido
18,B,Wesway
14,B,chevrolet
14,B,Oro
14,B,Fido
14,B,Tribute
12,A,Tower
13,A,Fido
13,A,Oro
18,A,Wesway
22,A,chevrolet
19,A,Oro
18,B,Fido
23,B,Pauline
28,B,SopMozarta
30,B,Clipper
30,B,Tribune
31,B,Regina II
35,C,Ability
27,C,Campino
26,C,Tribute
24,C,Regina II
25,C,Tower
23,C,Campino
20,C,chevrolet
21,C,Fido
13,A,chevrolet
14,A,Oro
15,A,Tribute
14,A,Fido
17,A,Wesway
11,A,Pauline
13,A,Topas
12,A,Trigold
13,A,Rivette
19,A,Q2
15,A,Wesway
13,C,chevrolet
13,C,Fido
14,C,Tribute
18,C,Adamo
22,C,Campino
21,C,Clipper
26,D,Altex
22,D,Fido
28,D,Ability
23,D,Regina II
28,D,Tower
27,D,Regina II
13,D,Topas
14,D,Wesway
13,D,chevrolet
14,D,Fido
15,D,Tower
12,D,Pauline
13,D,chevrolet
13,D,Fido
14,D,Tribute
13,D,Rivette
12,D,Topas
13,D,Wesway
18,D,Tribute
16,D,chevrolet
18,A,Wesway
18,A,Fido
23,A,Tribute
26,A,Campino
11,A,chevrolet
12,A,Fido
13,A,Tribute
12,A,Trigold
18,A,Wesway
20,A,Regina II
21,A,chevrolet
22,A,Ability
18,B,Q2
19,B,Fido
21,B,Pauline
26,C,Tribune
15,C,chevrolet
16,C,Oro
29,C,Tribune
24,C,SopMozarta
20,C,Larissa
19,C,Adamo
15,C,Tower
24,C,Magma
20,C,Regina II
11,C,Trigold
20,C,Tribute
19,C,Wesway
15,C,chevrolet
31,C,Ability
26,C,Fido
32,B,Regina II
25,B,chevrolet
16,B,chevrolet
16,B,Wesway
18,B,Tribute
16,B,Fido
13,B,Topas
14,B,Tower
14,B,Fido
14,B,Wesway
29,B,Larissa
26,A,Campino
26,A,SopMozarta
31,A,Regina II
32,A,Ability
28,A,Tower
24,A,Tribune
26,A,Tribune
24,A,Andor
26,A,Astor
31,A,Tribune
19,A,Tribute
18,A,chevrolet
15,A,Pauline
15,A,Fido
16,A,Oro
15,A,chevrolet
16,A,Tribute
14,A,Fido
17,D,Topas
16,D,chevrolet
15,D,Wesway
18,D,Tribute
21,D,Topas
20,D,chevrolet
13,D,Fido
29,D,Regina II
23,D,Fido
20,D,Wesway
23,D,Oro
24,D,Regina II
25,D,Campino
24,D,Ability
18,D,Fido
29,D,Campino
19,D,Wesway
23,D,Larissa
23,D,Clipper
22,D,Adamo
25,D,Magma
33,D,Andor
28,D,Tribune
25,D,SopMozarta
25,D,Aurora
26,D,Tower
27,D,Altex
17.5,D,chevrolet
16,D,Tower
15.5,D,Wesway
14.5,D,Fido
22,D,Tribute
22,D,chevrolet
24,D,Fido
22.5,D,Wesway
29,D,chevrolet
24.5,D,chevrolet
29,D,Campino
33,D,Andor
20,D,Tower
18,D,Fido
18.5,D,Oro
17.5,D,Wesway
29.5,D,Campino
32,D,Ability
28,D,Regina II
26.5,D,Fido
20,D,Adamo
13,D,Tribute
19,D,Clipper
19,D,Regina II
16.5,D,Bingo
16.5,D,Callypso
13,D,chevrolet
13,D,Fido
13,D,Tower
31.5,D,Andor
30,D,Topas
36,D,Altex
25.5,D,Tribute
33.5,D,Ability
17.5,D,chevrolet
17,D,Trigold
15.5,D,Tower
15,D,Pauline
17.5,D,chevrolet
20.5,D,Topas
19,D,Tribute
18.5,D,Fido
16,D,Oro
15.5,D,chevrolet
15.5,D,Rivette
16,D,Fido
29,D,Campino
24.5,D,Oro
26,D,Regina II
25.5,D,Fido
30.5,D,chevrolet
33.5,D,Tower
30,D,Astor
30.5,D,Campino
22,D,Ability
21.5,D,Monty
21.5,D,Q2
43.1,D,Campino
36.1,D,Fido
32.8,D,Q2
39.4,D,Ability
36.1,D,Andor
19.9,D,Trigold
19.4,D,Tower
20.2,D,Pauline
19.2,D,Oro
20.5,D,chevrolet
20.2,D,Fido
25.1,D,Fido
20.5,D,Tribute
19.4,D,Wesway
20.6,D,Topas
20.8,D,Pauline
18.6,D,Tower
18.1,D,Wesway
19.2,D,chevrolet
17.7,D,Topas
18.1,D,Fido
17.5,D,Tower
30,D,chevrolet
27.5,D,Regina II
27.2,D,Ability
30.9,D,Tower
21.1,D,Regina II
23.2,D,Tribute
23.8,D,Trigold
23.9,D,Ability
20.3,D,Larissa
17,D,Adamo
21.6,D,Magma
16.2,D,Clipper
31.5,D,Campino
29.5,D,Andor
21.5,D,Oro
19.8,D,Pauline
22.3,D,Fido
20.2,D,Wesway
20.6,D,Tower
17,D,chevrolet
17.6,D,Fido
16.5,D,Pauline
18.2,D,Tower
16.9,D,Topas
15.5,D,Fido
19.2,D,chevrolet
18.5,D,Rivette
31.9,D,Campino
34.1,D,Q2
35.7,D,Tower
27.4,D,Wesway
